1	"Production Agency"	"The agency responsible for the production of the data (AML)"	"IHO code for producing agencies"	"AGENCY"				"Coded String"
97	"Relative Horizontal Accuracy"	"The horizontal error estimate for the distance between two points, or the accuracy of one point with respect to another"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class. The expected input is the radius of the two-dimensional error. The error is assumed to be positive and negative."	"HORACC"		0,1		"Real"
98	"Horizontal Clearance"	"The width of an object, such as a canal or a tunnel, which is available for safe navigation.  This may, or may not, be the same as the total physical width of the object. (S-57 Annex A, Appendix A, IHO Object Catalogue)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"HORCLR"		0,1		"Real"
99	"Horizontal Length"	"A measurement of the longer of the two linear axes. (Digital Geographic Information Working Group - DGIWG, Oct 87.)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"HORLEN"		0,1		"Real"
100	"Horizontal Width"	"A measurement of the shorter of the two linear axes. (Digital Geographic Information Working Group - DGIWG, Oct 87.)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"HORWID"		0,1		"Real"
101	"Ice Factor"	"The value of the maximum variation in the vertical clearance of an overhead cable due to an accumulation of ice. (S-57 Annex , Appendix A, IHO Catalogue)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"ICEFAC"		0,1		"Real"
102	"Supporting Textual Information"	"Supporting (free text) information relevant to the object that cannot be explicitly encoded by any other attribute."		"INFORM"				"String"
103	"Jurisdiction"	"The jurisdiction applicable to an administrative area. (S-57 Annex A, Appendix A, IHO Catalogue)"		"JRSDTN"				"Enumeration"
106	"Lifting Capacity"	"The specific safe lifting capacity of an object.  (S-57 Annex A, Appendix A, IHO Object Catalogue)"		"LIFCAP"	"t"	0,1		"Real"
107	"Light Characteristic"	"Light characteristic"		"LITCHR"				"Enumeration"
108	"Light Visibility"	"The specific visibility of a light, with respect to the light's intensity and ease of recognition.(S-57 Annex A, Appendix A, IHO Object Catalogue)"		"LITVIS"				"List"
109	"Marks Navigational - System of"	"System of Navigational Marks"		"MARSYS"				"Enumeration"
110	"Multiplicity of Lights"	"The number of lights of identical character that exist as a co-located group.(S-57 Annex A, Appendix A, IHO Object Catalogue)"		"MLTYLT"				"Integer"
111	"Nationality"	"Indicates the nationality of the specific object.(S-57 Annex A, Appendix A, Chapter 2 Attributes)"		"NATION"				"Coded String"
112	"Nature of Construction"	"The material(s) used to make the object.(S-57 Annex A, Appendix A, IHO Object Catalogue)"		"NATCON"				"List"
113	"Surface Composition"	"The general nature of the material of which the land surface or the sea bed is composed.(S-57 Annex A, Appendix A, Chapter 2 Attributes)"	"Where the surface comprises a mixture of material, the main constituent is given first."	"NATSUR"				"List"
114	"Surface Composition - Qualifying Terms"	"Surface Composition - Qualifying Terms. Physical characteristics of the natural surface composition in terms of their size, morphology and consistency.(Adapted from S-57 Annex A, Appendix A, Chapter 2 Attributes)"		"NATQUA"				"List"
116	"Name"	"The principal name or identifier of an object in English. (AML)"		"OBJNAM"				"String"
117	"Orientation"	"The angular distance measured from true north to the major axis of the object. (Digital Geographic Information Working Group - DGIWG, Oct.87)"		"ORIENT"	"Degree (°)"	0,01		"Real"
118	"Seasonal End Date"	"The end of the active period for a seasonal object. (AML)"	"4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD). When no specific year is required, the following two cases may be considered: same day each year: --MMDD; same month each year: --MM."	"PEREND"				"Date"
119	"Seasonal Start Date"	"The start of the active period for a seasonal object.    (AML)"	"4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD). When no specific year is required, the following two cases may be considered: same day each year: --MMDD; same month each year: --MM."	"PERSTA"				"Date"
120	"Image File Link"	"Indicates an external file containing a pictorial representation of the object (S-57 Annex A, Appendix A, IHO Object Catalogue)"	"the string encodes the file name of an external graphic file."	"PICREP"				"String"
122	"Producing Country"	"The country responsible for the production of the data (AML)"	"IHO code for producing agencies"	"PRCTRY"				"Coded String"
123	"Product"	"Indicates the substance(s) which are transported, stored or exploited by the object.  (S-57 Annex A, Appendix A, Chapter 2 Attributes)"		"PRODCT"				"List"
124	"Reference to a Publication"	"Reference to a specific location of any relevant information within an external publication. (AML)"		"PUBREF"				"String"
125	"Quality of Sounding Measurement"	"Indicates the reliability of the value of the sounding.      (S-57 Annex A, Appendix A, IHO Object Catalogue)"		"QUASOU"				"List"
126	"Radar Wave Length"	"The distance between two successive peaks (or other points of identical phase) on an electromagnetic wave in the radar band of the electromagnetic spectrum."	"V.VV-B,V.VV-B ;VV.VV= encodes the value of wavelength. B= encodes the band each separated by a hyphen ('-'). In the case where two bands should be encoded, these should be separated by a comma."	"RADWAL"	"m"	0,01		"Coded String"
127	"Radius"	"The vector extending from the centre to the periphery of a circular or spherical object"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"RADIUS"		0,1		"Real"
128	"Capture Date"	"Gives the date when the object was captured, edited or deleted.(AML)"	"The capture date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)."	"RECDAT"				"Date"
130	"Reference Year for Magnetic Variation"	"The reference year for magnetic variation values."	"The date should be encoded using 4 digits for the calendar year (CCYY)."	"RYRMGV"				"Date"
131	"Restriction(s)"	"Specific restrictions regarding entry and / or activities that may / may not be permitted.(AML)"		"RESTRN"				"List"
132	"Scale Maximum"	"The maximum scale at which the object may be used e.g. for display purposes."	"The modulus of the scale is indicated, that is 1:1 250 000 is encoded as 1250000"	"SCAMAX"				"Integer"
133	"Scale Minimum"	"The minimum scale at which the object may be used e.g. for display purposes."	"The modulus of the scale is indicated, that is 1:1 250 000 is encoded as 1250000"	"SCAMIN"				"Integer"
134	"The Largest Scale of Survey Information"	"The largest scale for the range of survey scale as used in source data diagram information."	"The modulus of the scale is indicated, that is 1:25 000 is encoded as 25000"	"SCVAL1"				"Integer"
135	"The Smallest Scale of Survey Information"	"The smallest scale for the range of survey scale as used in source data diagram information."	"The modulus of the scale is indicated, that is 1:25 000 is encoded as 25000"	"SCVAL2"				"Integer"
136	"Sector Limit One"	"A sector is the part of a circle between two straight lines drawn from the centre to the circumference.  Sector limit 1 specifies the first limit of the sector.  The order of sector limit 1 and sector limit 2 is clockwise around the central object.(S-57 A"		"SECTR1"	"Degree (°)"	0,01		"Real"
137	"Sector Limit Two"	"A sector is the part of a circle between two straight lines drawn from the centre to the circumference. Sector 2 specifies the second limit of the sector.(S-57 Annex A, Appendix A, IHO Object Catalogue)"		"SECTR2"	"Degree (°)"	0,01		"Real"
139	"Signal Frequency"	"The frequency of the signal"		"SIGFRQ"	"Hz"			"Integer"
140	"Signal Generation"	"Encodes the mechanism used to generate a fog signal."		"SIGGEN"				"Enumeration"
141	"Signal Group"	"The number of signals, the combination of signals or the morse character(s) within one period of full sequence.        (S-57 Annex A, Appendix A, IHO Object Catalogue)"	"The signal group of a light is encoded using brackets to separate the individual groups. A group of signals may be a single number, a chain of numbers separated by ""+"", a sequence of up to 4 letters or a letter and a number. A fixed light has no signal gr"	"SIGGRP"				"Coded String"
142	"Signal Period"	"The time occupied by an entire cycle of intervals of light and eclipse.          (S-57 Annex A, Appendix A, IHO Object Catalogue)"		"SIGPER"	"Sec"	0,1		"Real"
143	"Signal Sequence"	"The sequence of times occupied by intervals of light and eclipse for all `light characteristics' except for occulting where the sequence of times is occupied by intervals of eclipse and light.(S-57 Annex A, Appendix A, IHO Object Catalogue)"	"Format: LL.L+(EE.E)"	"SIGSEQ"	"Sec"			"Coded String"
144	"Sounding Accuracy"	"The best estimate of the accuracy of the sounding data. The error is assumed to be positive and negative. (S-57 Annex A, Appendix A, Chapter 2 Attributes)"	"Units defined in the DUNI subfield of the DSPM record, the DUNITS attribute of the M_UNIT meta object, or object class. The maximum of the one-dimensional error. The error is assumed to be positive and negative. The plus/minus character shall not be encod"	"SOUACC"		0,1		"Real"
145	"Maximum Distance between Survey Lines"	"The maximum spacing of the principal sounding lines of a survey. (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"SDISMX"				"Integer"
146	"Minimum Distance between Survey Lines"	"The minimum spacing of the principal sounding lines of a survey.(AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"SDISMN"				"Integer"
147	"Source Date"	"The date of issue of the source information, if applicable. (AML)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)"	"SORDAT"				"Date"
148	"Source Agency, Source Country, Source ID, Source Type"	"The agency responsible for the production of the source (AML); The country responsible for the production of the source (AML); Any ID of the source (e.g. chart number). (AML); The type of the source (e.g. chart or report). (AML)"		"SORIND"				"Coded String"
149	"Status"	"Indicates the condition of the object in terms of permanency or usage. (S-57 Annex A, Appendix A, Chapter 2 Attributes)"		"STATUS"				"List"
150	"Survey Authority"	"The authority which was responsible for the survey.(AML)"		"SURATH"				"String"
151	"Survey Date End"	"The end date of the survey. (AML)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)"	"SUREND"				"Date"
152	"Survey Date Start"	"The start date of the survey. (AML)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)"	"SURSTA"				"Date"
153	"Survey Type"	"The method used in acquiring survey data (AML)"		"SURTYP"				"List"
156	"Technique of sounding measurement"	"Indicates the method or equipment used to obtain the object's depth. (S-57 Annex A, Appendix A, IHO Object Catalogue)"		"TECSOU"				"List"
158	"Text File Reference"	"The file name relating to an external text file."		"TXTDSC"				"String"
159	"Tidal Stream - Panel Values"	"Identifies the reference station with reference water level and the direction of the flow and the springs rate from 6 hours before to 6 hours after high water (HW) or low water (LW) at the reference station at hourly intervals."	"REFSTA,WL,ddd,v.v,ddd,v.v …… ;  REFSTA: reference station (text string); WL:   reference water level; encoded in comma separated pairs: ddd:   flow direction (degree); v.v:   velocity (kt)"	"TS_TSP"				"Coded String"
160	"Tidal Stream , current - time series values"	"Values for a direction and velocity time series."	"ddd,v.v,ddd,v.v  …….. ; Encoded as comma separated values: ddd: direction (degree); v.v: velocity (kt)"	"TS_TSV"				"Coded String"
161	"Tide - accuracy of water level"	"The accuracy of the water level, comparative to the accuracy of standard port predictions."		"T_ACWL"				"Enumeration"
162	"Tide - high and low water levels"	"Information on the times and heights of high and low waters for each day of the duration of the time series."	"CCYYMMDDThhmm,xxx.x,CCYYMMDDThhmm,xxx.x ….. ; Dates / times and heights should be encoded in pairs, each value separated by a comma. The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) and 2 digits for the d"	"T_HWLW"				"Coded String"
163	"Tide  - method of tidal prediction"	"Tide  - method of tidal prediction"		"T_MTOD"				"Enumeration"
164	"Tide - time and height differences"	"The time and tidal height or tidal stream rate difference comparative to a reference station."	"REFSTA,hhmm,H.H,L.L ; REFSTA:  reference station (text string); hhmm:   time difference (+/- ); H.H:   height difference for mean high water((-)metres) or rate difference for mean high rate ((-)kt); L.L:   height difference for Mean High Water((-)metres) "	"T_THDF"				"Coded String"
165	"Tide, current- time interval"	"Indicates the interval between the values in any time series i.e. tidal, current or other data."		"T_TINT"	"Min"			"Integer"
166	"Tide - time series values"	"Indicates the values of a time series."	"x.x,x.x,x.x ……. ; x.x  +/- height"	"T_TSVL"	"m"			"Coded String"
167	"Tide - value of harmonic constituents"	"Harmonic constituents are the harmonic elements in a mathematical expression for the tide producing force and in the corresponding formula for the tidal curve.  Each   constituent represents a periodic change or variation in the relative positions of the "	"A table defined by comma separated values which define the following: number of columns, number of  rows, column headings, row headings, cell values"	"T_VAHC"				"Coded String"
168	"Time End"	"Indicates the end of an active period."	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) and 2 digits for the day (DD), separated by a capital T from the  hour (hh), minutes (mm), and seconds(ss)."	"TIMEND"				"Date"
169	"Time Start"	"Indicates the start of an active period."	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) and 2 digits for the day (DD), separated by a capital T from the  hour (hh), minutes (mm), and seconds(ss)."	"TIMSTA"				"Date"
171	"Topmark/daymark shape"	"Shape of topmark or daymark"		"TOPSHP"				"Enumeration"
172	"Traffic flow"	"An indication of the general traffic flow in relation to, or associated with, the feature.(AML)"		"TRAFIC"				"Enumeration"
173	"Value of annual change in magnetic variation"	"The annual change in magnetic variation values."	"A positive value indicates a change in an easterly direction and a negative value indicates a change in a westerly direction."	"VALACM"	"arcmin(')"	0,1		"Real"
174	"Depth Contour Value"	"A specified value assigned to a particular depth contour. (AML)"	"Units defined in the DUNI subfield of the DSPM record, the DUNITS attribute of the M_UNIT meta object, or object class. Drying Contours are indicated by a negative value"	"VALDCO"		0,1		"Real"
175	"Value of local magnetic anomaly"	"The value of the deviation from the normal magnetic variation."	"The deviation is assumed to be positive and negative. The plus/minus character shall not be encoded"	"VALLMA"	"arcmin(')"	0,1		"Real"
176	"Value of magnetic variation"	"The magnetic variation value."	"A positive value indicates a change in an easterly direction and a negative value indicates a change in a westerly direction."	"VALMAG"	"Degree (°)"	0,01		"Real"
177	"Value of maximum range"	"The extreme distance at which an object can be seen or a signal detected."	"This attribute does not apply to lights where the attribute 'value of nominal range' should be used."	"VALMXR"	"NM"	0,1		"Real"
178	"Value of Nominal Range"	"The nominal range at which an object can be seen or a signal detected.(S-57 Annex A, Appendix A, IHO Object Catalogue)"	"The nominal range is normally the luminous range of a light in a homogeneous atmosphere in which the meteorological visibility is 10 sea miles. (IHO Hydrographic Dictionary, S-32, 5th Edition, 4218)"	"VALNMR"	"NM"	0,1		"Real"
179	"Depth of Water over Feature"	"Average depth of water over the feature relative to the specified vertical datum. (AML)"	"Units defined in the DUNI subfield of the DSPM record, the DUNITS attribute of the M_UNIT meta object, or object class. A drying height is indicated by a negative value."	"VALSOU"		0,1		"Real"
180	"Relative Vertical Accuracy"	"The vertical error estimate for the distance between two points, or the accuracy of one point with respect to another"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"VERACC"		0,1		"Real"
181	"Vertical Clearance"	"The vertical clearance measured from the plane towards the object overhead.(S-57 Annex A, Appendix A, IHO Object Catalogue)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"VERCLR"		0,1		"Real"
182	"Vertical Clearance, Closed"	"The vertical clearance of an object in closed condition (e.g. a closed lifting bridge) measured from the plane towards the object overhead.(S-57 Annex A, Appendix A, IHO Object Catalogue)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"VERCCL"		0,1		"Real"
183	"Vertical Clearance, Open"	"The vertical clearance of an object in opened condition (e.g. an opened lifting bridge) measured from the plane towards the object overhead.(S-57 Annex A, Appendix A, IHO Object Catalogue)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"VERCOP"		0,1		"Real"
184	"Vertical Clearance, Safe"	"The safe vertical clearance measured from the plane towards the object overhead.(S-57 Annex A, Appendix A, IHO Object Catalogue)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"VERCSA"		0,1		"Real"
185	"Vertical Datum"	"Indicates the datum to which both heights and soundings are referred. (S-57 Annex A, Appendix A, Chapter 2 Attributes)"	"When the vertical datum is unknown, the value `local datum' is to be used, and further details may be encoded using `INFORM'."	"VERDAT"				"Enumeration"
186	"Vertical Length"	"The effective vertical length of an object, measured from the highest point of the object to either the seabed or ground (if fixed), or the water level (if floating). (S-57 Annex A, Appendix A, IHO Object Catalogue)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"VERLEN"		0,1		"Real"
187	"Water Level Effect"	"Indicates the effect of the surrounding water on an object.(S-57 Annex A, Appendix A, Chapter 2 Attributes)"		"WATLEV"				"Enumeration"
188	"Category of Tidal Stream"	"Category of Tidal Stream"		"CAT_TS"				"Enumeration"
212	"Pilot District"	"The area within which a particular pilotage service operates."		"PILDST"				"String"
300	"Supporting Textual Information (in national language characters)"	"Supporting (free text) information in national language characters relevant to the object that cannot be explicitly encoded by any other attribute."		"NINFOM"				"String"
301	"Name (in national language characters)"	"The principal name or identifier of an object in national language characters.(AML)"		"NOBJNM"				"String"
302	"Pilot District in National Language"	"Pilot district in national language characters"		"NPLDST"				"String"
304	"Text File Reference (in national language characters)"	"The file name (in national language characters) relating to an external text file."		"NTXTDS"				"String"
401	"Absolute Horizontal Accuracy"	"The positional error estimate for a single point, relative to the specified spatial reference system (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"POSACC"		0,1		"Real"
402	"Quality of Position"	"An indication of the reliability of a quoted position."	"The value `Approximate' when applied to the attribute `Quality of Position' is prohibited for use in AML. In circumstances where the term 'Position Approximate' would normally be applied to an object in a standard navigational charting sense, the value `E"	"QUAPOS"				"Enumeration"
604	"Category of Production Installation"	"Indicates the category of a production installation"		"CATPRI"				"Enumeration"
20484	"Abandonment Date"	"The date on which a borehole is sealed. All well-head equipment is removed and the hole plugged with cement and a steel plate cemented over the top. (Adapted from An A-Z of Offshore Oil & Gas by Harry Whitehead, 2nd Ed, 1983, Gulf Publishing Company)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)"	"databa"				"Date"
20485	"Attenuation"	"Reduction in intensity of sound waves (Adapted from IHO-Dictionary S-32, 5th Edition, 292)"		"attutn"	"db/m"	0,1		"Real"
